"","V1","V2","V3","V4","total"
"407","2020",4,"12","@nytimes",22977
"408","2020",4,"12","@narendramodi",14088
"409","2020",4,"12","@ConflitsFR",12146
"410","2020",4,"12","@CNN",10222
"411","2020",4,"13","@realDonaldTrump",63488
"412","2020",4,"13","@ivettepataki",18668
"413","2020",4,"13","@meesterleesir",17126
"414","2020",4,"13","@nytimes",15080
"415","2020",4,"13","@ejln",14792
"416","2020",4,"14","@realDonaldTrump",45550
"417","2020",4,"14","@narendramodi",22468
"418","2020",4,"14","@BT21",18564
"419","2020",4,"14","@SJPeace",17344
"420","2020",4,"14","@charliekirk11",16372
"421","2020",4,"15","@realDonaldTrump",46351
"422","2020",4,"15","@WHO",31915
"423","2020",4,"15","@BillGates",22960
"424","2020",4,"15","@CNN",13193
"425","2020",4,"15","@WhiteHouse",12960
"426","2020",4,"16","@realDonaldTrump",38235
"427","2020",4,"16","@WHO",21604
"428","2020",4,"16","@ConflitsFR",14318
"429","2020",4,"16","@DrTedros",13342
"430","2020",4,"16","@CNN",12783
"431","2020",4,"17","@realDonaldTrump",65217
"432","2020",4,"17","@Lousimonn",29981
"433","2020",4,"17","@narendramodi",11821
"434","2020",4,"17","@ConflitsFR",11623
"435","2020",4,"17","@WHO",11551
"436","2020",4,"18","@BT21",80698
"437","2020",4,"18","@realDonaldTrump",41781
"438","2020",4,"18","@superm",15336
"439","2020",4,"18","@WHO",15217
"440","2020",4,"18","@CNN",11422
"441","2020",4,"19","@realDonaldTrump",52354
"442","2020",4,"19","@GlblCtzn",26064
"443","2020",4,"19","@thesundaytimes",23158
"444","2020",4,"19","@WHO",19328
"445","2020",4,"19","@nytimes",11640
"446","2020",4,"20","@realDonaldTrump",42884
"447","2020",4,"20","@beyerstein",23167
"448","2020",4,"20","@motulo",21883
"449","2020",4,"20","@CNN",12305
"450","2020",4,"20","@ConflitsFR",11031
"451","2020",4,"21","@realDonaldTrump",13874
"452","2020",4,"21","@HyundaiGlobal",4325
"453","2020",4,"21","@WHO",4000
"454","2020",4,"21","@HLGatell",3283
"455","2020",4,"21","@DrTedros",3238
"456","2020",4,"22","@realDonaldTrump",44806
"457","2020",4,"22","@narendramodi",20920
"458","2020",4,"22","@CNN",17670
"459","2020",4,"22","@alfredodelmazo",16821
"460","2020",4,"22","@ConflitsFR",13309
"461","2020",4,"23","@realDonaldTrump",37024
"462","2020",4,"23","@alfredodelmazo",20621
"463","2020",4,"23","@ADBoyntonII",17506
"464","2020",4,"23","@ConflitsFR",15663
"465","2020",4,"23","@narendramodi",12426
"466","2020",4,"24","@realDonaldTrump",65242
"467","2020",4,"24","@DanielLewis3",25060
"468","2020",4,"24","@CNN",17732
"469","2020",4,"24","@narendramodi",17391
"470","2020",4,"24","@ConflitsFR",16628
"471","2020",4,"25","@realDonaldTrump",84660
"472","2020",4,"25","@SethAbramson",24528
"473","2020",4,"25","@lincnotfound",24463
"474","2020",4,"25","@CNN",22462
"475","2020",4,"25","@WHO",20684
"476","2020",4,"26","@realDonaldTrump",79120
"477","2020",4,"26","@JustSumGuy176",27137
"478","2020",4,"26","@lincnotfound",26285
"479","2020",4,"26","@Heavenlyxoxo",19145
"480","2020",4,"26","@marklevinshow",18320
"481","2020",4,"27","@realDonaldTrump",55980
"482","2020",4,"27","@Heavenlyxoxo",32911
"483","2020",4,"27","@RealJamesWoods",26659
"484","2020",4,"27","@igbuducj",20563
"485","2020",4,"27","@RealCandaceO",15773
"486","2020",4,"28","@realDonaldTrump",33054
"487","2020",4,"28","@CapriCornyCait",31217
"488","2020",4,"28","@RealCandaceO",19117
"489","2020",4,"28","@CNN",11741
"490","2020",4,"28","@ABC",10652
"491","2020",4,"29","@realDonaldTrump",32039
"492","2020",4,"29","@charliekirk11",11379
"493","2020",4,"29","@betsyrodriguez",9397
"494","2020",4,"29","@TrumpWarRoom",7942
"495","2020",4,"29","@PrinceHAK33M",7676
"496","2020",4,"30","@realDonaldTrump",44242
"497","2020",4,"30","@CNN",12978
"498","2020",4,"30","@elonmusk",12323
"499","2020",4,"30","@narendramodi",10018
"500","2020",4,"30","@felipeneto",9795
"501","2020",5,"1","@realDonaldTrump",35325
"502","2020",5,"1","@RealCandaceO",17706
"503","2020",5,"1","@woonzen39",17117
"504","2020",5,"1","@CNN",11790
"505","2020",5,"1","@AfricaFactsZone",11555
"506","2020",5,"2","@realDonaldTrump",39492
"507","2020",5,"2","@RealCandaceO",16034
"508","2020",5,"2","@CNN",13430
"509","2020",5,"2","@narendramodi",12631
"510","2020",5,"2","@funder",11129
"511","2020",5,"3","@realDonaldTrump",58114
"512","2020",5,"3","@JeffKasanoff",33083
"513","2020",5,"3","@narendramodi",13591
"514","2020",5,"3","@CNN",12204
"515","2020",5,"3","@shawnsbreathin",10547
"516","2020",5,"4","@realDonaldTrump",72879
"517","2020",5,"4","@bessbell",38703
"518","2020",5,"4","@MrGee54",16252
"519","2020",5,"4","@funder",13114
"520","2020",5,"4","@JoeBiden",12661
"521","2020",5,"5","@realDonaldTrump",27078
"522","2020",5,"5","@alfredodelmazo",20271
"523","2020",5,"5","@Brado84",14412
"524","2020",5,"5","@ASlavitt",8747
"525","2020",5,"5","@RahulGandhi",5994
"526","2020",5,"6","@realDonaldTrump",53572
"527","2020",5,"6","@JoeBiden",15811
"528","2020",5,"6","@CNN",14475
"529","2020",5,"6","@PugMafia2",14010
"530","2020",5,"6","@WhiteHouse",11925
"531","2020",5,"7","@realDonaldTrump",39096
"532","2020",5,"7","@alfredodelmazo",21059
"533","2020",5,"7","@MGRADS",20603
"534","2020",5,"7","@CNN",17079
"535","2020",5,"7","@GregAbbottTX",15930
"536","2020",5,"8","@realDonaldTrump",37528
"537","2020",5,"8","@Kingfreespeech",31886
"538","2020",5,"8","@CNN",19729
"539","2020",5,"8","@nytimes",19283
"540","2020",5,"8","@benshapiro",14607
"541","2020",5,"9","@realDonaldTrump",42756
"542","2020",5,"9","@CNN",21619
"543","2020",5,"9","@funder",16974
"544","2020",5,"9","@nytimes",13743
"545","2020",5,"9","@JoshuaPotash",12348
"546","2020",5,"10","@realDonaldTrump",63581
"547","2020",5,"10","@CNN",23118
"548","2020",5,"10","@superm",21179
"549","2020",5,"10","@BorisJohnson",20365
"550","2020",5,"10","@NicolaSturgeon",15335
"551","2020",5,"11","@realDonaldTrump",101669
"552","2020",5,"11","@60Minutes",46811
"553","2020",5,"11","@MikelJollett",31522
"554","2020",5,"11","@AprilDRyan",26996
"555","2020",5,"11","@JackPosobiec",25604
"556","2020",5,"12","@realDonaldTrump",70760
"557","2020",5,"12","@MikelJollett",33620
"558","2020",5,"12","@narendramodi",25267
"559","2020",5,"12","@RexChapman",19657
"560","2020",5,"12","@CNN",16641
"561","2020",5,"13","@realDonaldTrump",50948
"562","2020",5,"13","@Muktab",40864
"563","2020",5,"13","@RexChapman",34510
"564","2020",5,"13","@IngrahamAngle",23191
"565","2020",5,"13","@LizCheney",21547
