"","Year","Month","Day","Text","Count"
"580",2021,9,6,"radicalescontraelvirus",2186
"581",2021,9,7,"covid-19",41019
"582",2021,9,7,"covid",32043
"583",2021,9,7,"covid19",29947
"584",2021,9,7,"coronavirus",4067
"585",2021,9,7,"delta",3059
"586",2021,9,10,"covid-19",31343
"587",2021,9,10,"covid",26863
"588",2021,9,10,"covid19",22179
"589",2021,9,10,"coronavirus",3542
"590",2021,9,10,"riseofibel",3298
"591",2021,9,11,"covid-19",24026
"592",2021,9,11,"covid19",23441
"593",2021,9,11,"covid",21582
"594",2021,9,11,"laclaveesvacunarse",12505
"595",2021,9,11,"delta",4373
"596",2021,9,14,"covid-19",40815
"597",2021,9,14,"covid",30126
"598",2021,9,14,"covid19",29968
"599",2021,9,14,"coronavirus",3826
"600",2021,9,14,"delta",1940
"601",2021,9,20,"covid-19",2774
"602",2021,9,20,"covid19",2197
"603",2021,9,20,"covid",1373
"604",2021,9,20,"covidnunca",525
"605",2021,9,20,"maldito covid19",479
"606",2021,9,25,"covid-19",22177
"607",2021,9,25,"covid19",21950
"608",2021,9,25,"covid",19592
"609",2021,9,25,"coronavirus",2600
"610",2021,9,25,"hechosparabrillar",2338
"611",2021,9,26,"covid",23376
"612",2021,9,26,"covid-19",23069
"613",2021,9,26,"covid19",17870
"614",2021,9,26,"hechosparabrillar",6926
"615",2021,9,26,"abdala",3582
"616",2021,9,29,"covid-19",31224
"617",2021,9,29,"covid",25917
"618",2021,9,29,"covid19",22027
"619",2021,9,29,"coronavirus",4030
"620",2021,9,29,"sanidad",2712
"621",2021,10,1,"covid-19",14561
"622",2021,10,1,"covid",11887
"623",2021,10,1,"covid19",2543
"624",2021,10,1,"coronavirus",2486
"625",2021,10,1,"mironews",1197
"626",2021,10,3,"covid",13670
"627",2021,10,3,"covid-19",13326
"628",2021,10,3,"covid19",2229
"629",2021,10,3,"covid 19",2049
"630",2021,10,3,"coronavirus",1910
"631",2021,10,4,"covid-19",16905
"632",2021,10,4,"covid",13962
"633",2021,10,4,"covid19",2620
"634",2021,10,4,"coronavirus",2560
"635",2021,10,4,"mironews",1536
"636",2021,10,6,"covid-19",19056
"637",2021,10,6,"covid",16600
"638",2021,10,6,"covid19",3696
"639",2021,10,6,"coronavirus",2066
"640",2021,10,6,"moderna",1300
"641",2021,10,7,"covid-19",16755
"642",2021,10,7,"covid",14005
"643",2021,10,7,"covid19",3771
"644",2021,10,7,"coronavirus",2576
"645",2021,10,7,"moderna",1410
"646",2021,10,8,"covid",13198
"647",2021,10,8,"covid-19",12460
"648",2021,10,8,"covid19",2836
"649",2021,10,8,"coronavirus",2398
"650",2021,10,8,"pcr",638
"651",2021,10,12,"covid-19",32464
"652",2021,10,12,"covid19",24865
"653",2021,10,12,"covid",18438
"654",2021,10,12,"coronavirus",2980
"655",2021,10,12,"retinitis viral post-covid-19hoy",1545
"656",2021,10,13,"covid-19",38130
"657",2021,10,13,"covid",25947
"658",2021,10,13,"covid19",23738
"659",2021,10,13,"coronavirus",3459
"660",2021,10,13,"delta",2097
"661",2021,10,15,"covid-19",29457
"662",2021,10,15,"covid19",20727
"663",2021,10,15,"covid",18325
"664",2021,10,15,"vacunarsedependedeti",6862
"665",2021,10,15,"coronavirus",2975
